Class,News,News
neutral,It has sold one half of its business operations and will enter the Helsinki Stock Exchange via the back door through an innovative buyout arrangement with Kasola .,He sold half of his commercial operations and will enter the Helsinki Stock Exchange via the rear door thanks to an innovative buyout agreement with Kasola.
neutral,"It is a member of the OneWorld alliance , which includes American Airlines and British Airways .","He is a member of the Oneworld Alliance, which includes American Airlines and British Airways."
positive,It is a solid credit that has been compared to a DZ Bank or a Rabobank .,It is a solid credit that has been compared to a DZ bank or a Rabobank.
neutral,It is expected to be completed by the end of 2007 .,It should be completed by the end of 2007.
neutral,It is planned to set up the A class business center in the two top storeys of the complex .,It is planned to set up the A -Class shopping center in the two best floors of the complex.
neutral,"It is positive that the company it recruited Harri Koponen as CEO , according to Affarsvarlden .","It is certain that the company she recruited Harri Koponen as CEO, according to Affarsvarlden."
neutral,"It is the first oil company to join RSPO and commits fully to sustainable sourcing of feedstocks for the production of its NExBTL biodiesel , it said .","It is the first oil company to join RSPO and fully commit to the sustainable supply of raw materials for the production of its Biodiesel Nexbtl, he said."
neutral,It will provide heating in the form of hot water for the sawmill 's needs .,It will provide heating in the form of hot water for the needs of the sawmill.
neutral,Its 168 asset management experts manage assets worth over EUR 35 billion .,Its 168 asset management experts manage assets worth more than 35 billion euros.
neutral,Its other well-known brands include fitness equipment maker Precor and U.S. - based ball sports equipment maker Wilson .,Its other well-known brands include the manufacturer of pre-fitness equipment and the manufacturer of ball sports equipment based in the United States Wilson.
neutral,"Janno Reiljan , a member of the Eesti Energia supervisory board , said the owners of Narva Power Grid had informed Eesti Energia about their wish to sell .","Janno Reiljan, member of the Supervisory Board Esta Energia, said that the owners of Narva Power Grid informed Estest Energia of their wish to sell."
positive,"Jawad Williams scored 23 points in an impressive debut for Jerusalem , with Jason Rich adding 18 and Yuval Naimi chipping in with 16 points for Hapoel , which visits the yellow-and-blue next week .","Jawad Williams scored 23 points at an impressive start to Jerusalem, with Jason Rich adding 18 and Yuval Naimi rejoicing 16 points for Hapoel, who visits yellow and blue next week."
neutral,Jon Risfelt is 49 years old holds a Master of Science in Chemical Engineering from the Swedish Royal Institute of Technology .,Jon Risfelt is 49 years old holds a master's degree in chemical engineering from the Swedish Royal Institute of Technology.
neutral,Juha Haapakoski will continue as Editor-in-Chief with budget responsibility also with the new publisher .,Juha Haapakoski will also continue as editor -in -chief with the responsibility of the budget with the new publisher.
neutral,"Jun. 14 , 2009 ( AOL Weblogs delivered by Newstex ) -- Looks like the E71 is about to be upstaged as Nokia 's ( NYSE : NOK ) premier business-class smartphone -- someone in Espoo 's just hit the corporate YouTube account with this promo video for an E72 .","June 14, 2009 (AOL Weblogs delivered by Newstex) - It looks like the E71 is about to be presented as a Nokia business class smartphone (NYSE: Nok) - someone in Espoo just struck The business YouTube account with this promotional video for an E72."
neutral,"Jun. 25 , 2008 ( Boy Genius Report delivered by Newstex ) -- The Nokia ( NYSE : NOK ) N78 , huh ?","June 25, 2008 (Boy Genius Report delivered by Newstex) - The Nokia (Nyse: Nok) N78, huh?"
neutral,"KONE , headquartered in Espoo , Finland , is one of the world 's leading elevator and escalator companies .","Kone, whose headquarters are in Espoo, Finland, is one of the main elevator and world escalators."
neutral,"Last July , the group said it intended to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars , in the east of France , where it already operates a hook manufacturing and distribution unit .","Last July, the group declared that he intended to move the warehouse and the office space to Loudac and Saint Marcel in Morvillars, east of France, where he already operates a manufacturing unit and distribution of hooks."
neutral,"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .","Lember said that the case was also topical in Estonia, where a bill was drawn up at the Ministry of Social Affairs which would scratch old age pensions in favorable conditions."
neutral,"Linde acts responsibly towards its shareholders , business partners , employees , society and the environment - in every one of its business areas , regions and locations across the globe .","Linde acts responsiblely towards its shareholders, business partners, employees, company and environment - in each of its fields of activity, regions and places around the world."
